nombre,categoria,direccion,cp,ciudad,provincia,telefono,movil_whatsapp,email,web,horario,servicios,valoracion,num_opiniones,calidad,estado_revision,observaciones,mapa,fecha_recopilacion,fuente_1,fuente_2
TAKUMISAN,Mecánica de automóviles y camiones,"Av. de Picassent, 19",46460,Silla,Valencia,961 11 53 56,,,https://takumisan.com,L-V 08:30-14:00 y 15:30-18:30; S-D cerrado,Reparación de automóviles; reparación y mantenimiento de camiones,4.63,247,Alta,Datos recientes; contactar antes de publicar,Ficha actualizada en julio de 2026.,https://www.google.com/maps/search/?api=1&query=TAKUMISAN+Av.+de+Picassent%2C+19+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/takumisan-13060076.html,
Silla Neumáticos José Berruezo e Hijos (Euromaster),Neumáticos y mecánica rápida,"Carrer de Massanassa, 5",46460,Silla,Valencia,961 20 07 05,,,https://www.euromaster-neumaticos.es/centros/comunidad-valenciana/silla/euromaster-silla-neumaticos-jose-berruezo-e-hijos-1,L-V 08:30-13:30 y 15:30-19:00; S-D cerrado,Neumáticos; mantenimiento; mecánica rápida; aceite; baterías; vehículos y camiones,4.59,174,Alta,Datos recientes; contactar antes de publicar,Aparecía duplicado en el directorio; consolidado en una sola ficha.,https://www.google.com/maps/search/?api=1&query=Silla+Neum%C3%A1ticos+Jos%C3%A9+Berruezo+e+Hijos+%28Euromaster%29+Carrer+de+Massanassa%2C+5+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/silla-neum%C3%A1ticos-jose-berruezo-e-hijos-2-11484230.html,https://www.paginasamarillas.es/a/recambios-automovil/valencia/silla/
Electro Coher,Electricidad y electromecánica del automóvil,"Avinguda d'Alacant, 126",46460,Silla,Valencia,961 20 06 15,,,,L-J 08:00-14:00 y 16:00-18:30; V 08:00-14:00; S-D cerrado,Electricidad de vehículos; reparación de automóviles,4.6,99,Alta,Datos recientes; contactar antes de publicar,Ficha actualizada en julio de 2026.,https://www.google.com/maps/search/?api=1&query=Electro+Coher+Avinguda+d%27Alacant%2C+126+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/electro-coher-11478873.html,
Xvenir Carrera S.L.U.,"Chapa, pintura y mecánica","Av. Alborache, 13",46460,Silla,Valencia,961 11 66 00,692 49 22 11,,https://www.xvenircarrera.com,L-J 08:30-14:00 y 15:30-18:30; V 08:30-15:30; S-D cerrado,Chapa; pintura; mecánica; gestión de reparaciones con aseguradoras,4.61,108,Alta,Datos recientes; contactar antes de publicar,Web propia y teléfono móvil público.,https://www.google.com/maps/search/?api=1&query=Xvenir+Carrera+S.L.U.+Av.+Alborache%2C+13+Silla+Valencia,2026-07-23,https://www.xvenircarrera.com/,https://www.cylex.es/silla/xvenir-carrera-s-l-u--13045506.html
Auto-Taller Silla C.B.,"Mecánica, electricidad, chapa y pintura","Carrer del Molinell, 7",46460,Silla,Valencia,961 20 13 52,636 16 40 75,,,L-V 08:30-14:00 y 15:30-19:00; S-D cerrado,Mecánica; electricidad; plancha y pintura,4.6,68,Alta,Datos recientes; confirmar móvil,"El móvil procede del directorio empresarial municipal; el fijo y horario, de Cylex.",https://www.google.com/maps/search/?api=1&query=Auto-Taller+Silla+C.B.+Carrer+del+Molinell%2C+7+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/auto-taller-silla-c-b--11508855.html,https://sillaempresas.es/es/areas/ver/magallo-industrial/9
Crisentimotor,Taller mecánico multimarca,"Carrer de la Santíssima Trinitat, 12",46460,Silla,Valencia,961 20 06 57,,,https://crisentimotor.lawebdetutaller.com,L-V 08:30-14:00 y 16:00-19:00; S-D cerrado,Mecánica general y reparación de automóviles,4.8,70,Alta,Datos recientes; contactar antes de publicar,Posible relación o sustitución del antiguo registro Talleres Bartom.,https://www.google.com/maps/search/?api=1&query=Crisentimotor+Carrer+de+la+Sant%C3%ADssima+Trinitat%2C+12+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/crisentimotor-13549037.html,
Talleres Juan Simarro,Mecánica general,"Av. d'Ausiàs March, 9",46460,Silla,Valencia,961 20 09 27,663 98 30 84,,,L-J 08:00-14:00 y 16:00-19:30; V 08:00-14:00 y 16:00-19:00; S-D cerrado,Reparación de automóviles; mecánica general,4.5,54,Alta,Datos recientes; contactar antes de publicar,"No confundir con el registro Simarro Gascón, J. de otra dirección.",https://www.google.com/maps/search/?api=1&query=Talleres+Juan+Simarro+Av.+d%27Ausi%C3%A0s+March%2C+9+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/talleres-juan-simarro-11834297.html,
Francisco Morilla S.L.,Taller mecánico multimarca / Eurorepar,"Avinguda d'Alacant, 134",46460,Silla,Valencia,961 20 17 39,,,https://www.eurorepar.es,L-V 08:00-14:00 y 15:30-19:30; S-D cerrado,Mecánica general; mantenimiento y reparación de automóviles,4.6,32,Alta,Datos recientes; localizar ficha web exacta,"El enlace web publicado lleva a la red Eurorepar, no necesariamente a una ficha individual.",https://www.google.com/maps/search/?api=1&query=Francisco+Morilla+S.L.+Avinguda+d%27Alacant%2C+134+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/francisco-morilla-s-l--12386756.html,https://www.qdq.com/francisco-morilla-sl-1029941
Joicar Multiauto,"Taller, neumáticos y lavado","Carrer del Primer de Maig, 6",46460,Silla,Valencia,961 21 87 85,,,,L-V 08:00-14:00 y 16:00-19:00; S-D cerrado,Mecánica; neumáticos; bombas inyectoras; frenos; distribución; aceite; lavado y tapicerías,,,Alta,Datos recientes; contactar antes de publicar,Los servicios se han contrastado con QDQ y Talleres.biz.,https://www.google.com/maps/search/?api=1&query=Joicar+Multiauto+Carrer+del+Primer+de+Maig%2C+6+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/joicar-multiauto-13301025.html,https://www.qdq.com/talleres-joicar-multiauto-93325
Tainivol S.L.,Taller mecánico y reparación de remolques,"Avinguda d'Alacant, 22",46460,Silla,Valencia,961 21 18 72,,,,L-V 08:30-15:00; S-D cerrado,Mecánica; reparación de remolques,4.6,100,Alta,Datos recientes; confirmar tipo de cliente,Otra fuente indica horario partido 08:00-14:00 y 15:00-18:00; conviene confirmar.,https://www.google.com/maps/search/?api=1&query=Tainivol+S.L.+Avinguda+d%27Alacant%2C+22+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/tainivol--s-l--12435073.html,https://comparayrepara.com/comunidad-valenciana/valencia/silla/tainivol-s-l/
