nombre_taller,telefono,movil_whatsapp,direccion,codigo_postal,ciudad,provincia,descripcion,web,horario,activo,verificado,observaciones_verificacion,fuente,imagen_archivo_local,imagen_publica_referencia,url_imagen_origen,estado_imagen
TAKUMISAN,961 11 53 56,,"Av. de Picassent, 19",46460,Silla,Valencia,Mecánica de automóviles y camiones. Servicios públicos localizados: Reparación de automóviles; reparación y mantenimiento de camiones,https://takumisan.com,L-V 08:30-14:00 y 15:30-18:30; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Ficha actualizada en julio de 2026.,https://www.cylex.es/silla/takumisan-13060076.html,imagenes_placeholder/01-takumisan.jpg,,https://talleraqui.com/im/images/30f7aabe-3944-494f-909d-b094d9003938.jpeg?f=webp&w=256,Referencia pública localizada por URL; no publicar sin autorización del titular
Silla Neumáticos José Berruezo e Hijos (Euromaster),961 20 07 05,,"Carrer de Massanassa, 5",46460,Silla,Valencia,Neumáticos y mecánica rápida. Servicios públicos localizados: Neumáticos; mantenimiento; mecánica rápida; aceite; baterías; vehículos y camiones,https://www.euromaster-neumaticos.es/centros/comunidad-valenciana/silla/euromaster-silla-neumaticos-jose-berruezo-e-hijos-1,L-V 08:30-13:30 y 15:30-19:00; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Aparecía duplicado en el directorio; consolidado en una sola ficha.,https://www.cylex.es/silla/silla-neum%C3%A1ticos-jose-berruezo-e-hijos-2-11484230.html,imagenes_placeholder/02-silla-neumaticos-jose-berruezo-e-hijos-euromaster.jpg,,https://talleraqui.com/im/images/1e28a3ee-7ac0-4822-aeb6-13d37b88016a.jpeg?f=webp&w=256,Referencia pública localizada por URL; no publicar sin autorización del titular
Electro Coher,961 20 06 15,,"Avinguda d'Alacant, 126",46460,Silla,Valencia,Electricidad y electromecánica del automóvil. Servicios públicos localizados: Electricidad de vehículos; reparación de automóviles,,L-J 08:00-14:00 y 16:00-18:30; V 08:00-14:00; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Ficha actualizada en julio de 2026.,https://www.cylex.es/silla/electro-coher-11478873.html,imagenes_placeholder/03-electro-coher.jpg,,https://talleraqui.com/im/images/f0081496-4a44-4f19-a458-6346453088a2.jpeg?f=webp&w=256,Referencia pública localizada por URL; no publicar sin autorización del titular
Xvenir Carrera S.L.U.,961 11 66 00,692 49 22 11,"Av. Alborache, 13",46460,Silla,Valencia,"Chapa, pintura y mecánica. Servicios públicos localizados: Chapa; pintura; mecánica; gestión de reparaciones con aseguradoras",https://www.xvenircarrera.com,L-J 08:30-14:00 y 15:30-18:30; V 08:30-15:30; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Web propia y teléfono móvil público.,https://www.xvenircarrera.com/,imagenes_placeholder/04-xvenir-carrera-s-l-u.jpg,imagenes_publicas/xvenir-carrera.jpg,"https://www.xvenircarrera.com/wp-content/uploads/go-x/u/abfd71ef-df61-4ffe-998e-4fdb764f0bf3/l0,t0,w803,h320/image.jpg",Referencia pública descargada; no publicar sin autorización del titular
Auto-Taller Silla C.B.,961 20 13 52,636 16 40 75,"Carrer del Molinell, 7",46460,Silla,Valencia,"Mecánica, electricidad, chapa y pintura. Servicios públicos localizados: Mecánica; electricidad; plancha y pintura",,L-V 08:30-14:00 y 15:30-19:00; S-D cerrado,false,false,"Datos recientes; confirmar móvil. El móvil procede del directorio empresarial municipal; el fijo y horario, de Cylex.",https://www.cylex.es/silla/auto-taller-silla-c-b--11508855.html,imagenes_placeholder/05-auto-taller-silla-c-b.jpg,imagenes_publicas/auto-taller-silla.webp,https://talleraqui.com/im/images/ec192c5c-07ee-43f2-9f43-20345c9ea7ab.jpeg?f=webp&w=256,Referencia pública descargada; no publicar sin autorización del titular
Crisentimotor,961 20 06 57,,"Carrer de la Santíssima Trinitat, 12",46460,Silla,Valencia,Taller mecánico multimarca. Servicios públicos localizados: Mecánica general y reparación de automóviles,https://crisentimotor.lawebdetutaller.com,L-V 08:30-14:00 y 16:00-19:00; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Posible relación o sustitución del antiguo registro Talleres Bartom.,https://www.cylex.es/silla/crisentimotor-13549037.html,imagenes_placeholder/06-crisentimotor.jpg,,https://talleraqui.com/im/images/28d91a59-6111-49a9-b43a-8f9865e880f9.jpeg?f=webp&w=256,Referencia pública localizada por URL; no publicar sin autorización del titular
Talleres Juan Simarro,961 20 09 27,663 98 30 84,"Av. d'Ausiàs March, 9",46460,Silla,Valencia,Mecánica general. Servicios públicos localizados: Reparación de automóviles; mecánica general,,L-J 08:00-14:00 y 16:00-19:30; V 08:00-14:00 y 16:00-19:00; S-D cerrado,false,false,"Datos recientes; contactar antes de publicar. No confundir con el registro Simarro Gascón, J. de otra dirección.",https://www.cylex.es/silla/talleres-juan-simarro-11834297.html,imagenes_placeholder/07-talleres-juan-simarro.jpg,imagenes_publicas/talleres-juan-simarro.webp,https://talleraqui.com/im/images/671bcc4b-6ff4-49be-a16e-6ef23108e9b1.jpeg?f=webp&w=256,Referencia pública descargada; no publicar sin autorización del titular
Francisco Morilla S.L.,961 20 17 39,,"Avinguda d'Alacant, 134",46460,Silla,Valencia,Taller mecánico multimarca / Eurorepar. Servicios públicos localizados: Mecánica general; mantenimiento y reparación de automóviles,https://www.eurorepar.es,L-V 08:00-14:00 y 15:30-19:30; S-D cerrado,false,false,"Datos recientes; localizar ficha web exacta. El enlace web publicado lleva a la red Eurorepar, no necesariamente a una ficha individual.",https://www.cylex.es/silla/francisco-morilla-s-l--12386756.html,imagenes_placeholder/08-francisco-morilla-s-l.jpg,,https://talleraqui.com/im/images/1d10e338-8d38-471b-a1ca-33790191fb20.jpeg?f=webp&w=256,Referencia pública localizada por URL; no publicar sin autorización del titular
Joicar Multiauto,961 21 87 85,,"Carrer del Primer de Maig, 6",46460,Silla,Valencia,"Taller, neumáticos y lavado. Servicios públicos localizados: Mecánica; neumáticos; bombas inyectoras; frenos; distribución; aceite; lavado y tapicerías",,L-V 08:00-14:00 y 16:00-19:00; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Los servicios se han contrastado con QDQ y Talleres.biz.,https://www.cylex.es/silla/joicar-multiauto-13301025.html,imagenes_placeholder/09-joicar-multiauto.jpg,,https://talleraqui.com/im/images/6337b639-dfd4-41ba-b4fb-89f8a52080ce.jpeg?f=webp&w=256,Referencia pública localizada por URL; no publicar sin autorización del titular
Tainivol S.L.,961 21 18 72,,"Avinguda d'Alacant, 22",46460,Silla,Valencia,Taller mecánico y reparación de remolques. Servicios públicos localizados: Mecánica; reparación de remolques,,L-V 08:30-15:00; S-D cerrado,false,false,Datos recientes; confirmar tipo de cliente. Otra fuente indica horario partido 08:00-14:00 y 15:00-18:00; conviene confirmar.,https://www.cylex.es/silla/tainivol--s-l--12435073.html,imagenes_placeholder/10-tainivol-s-l.jpg,,https://talleraqui.com/im/images/f41bf0bf-b48b-4fe7-bd83-e5c35e9286a2.jpeg?f=webp&w=256,Referencia pública localizada por URL; no publicar sin autorización del titular
